,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,ctn-1,last_week_same_hour,last_day_same_hour
2011-01-01 23:00:00,1.0,0.0,1.0,23.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.88,0.2985,39.0,11.0,39.0,39.0
2011-01-02 00:00:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,17.0,-22.0,17.0,16.0
2011-01-02 01:00:00,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.2537,17.0,0.0,17.0,40.0
2011-01-02 02:00:00,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.42,0.4242,1.0,0.2836,9.0,-8.0,9.0,32.0
2011-01-02 03:00:00,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.19399999999999998,6.0,-3.0,6.0,13.0
2011-01-02 04:00:00,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.19399999999999998,3.0,-3.0,3.0,1.0
2011-01-02 05:00:00,1.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.19399999999999998,3.0,0.0,3.0,1.0
2011-01-02 06:00:00,1.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.2985,2.0,-1.0,2.0,2.0
2011-01-02 07:00:00,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.19399999999999998,1.0,-1.0,1.0,3.0
2011-01-02 08:00:00,1.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.4,0.4091,0.71,0.2239,8.0,7.0,8.0,8.0
2011-01-02 09:00:00,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.38,0.3939,0.76,0.2239,20.0,12.0,20.0,14.0
2011-01-02 10:00:00,1.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.81,0.2239,53.0,33.0,53.0,36.0
2011-01-02 11:00:00,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.71,0.2537,70.0,17.0,70.0,56.0
2011-01-02 12:00:00,1.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.66,0.2985,93.0,23.0,93.0,84.0
2011-01-02 13:00:00,1.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.66,0.1343,75.0,-18.0,75.0,94.0
2011-01-02 14:00:00,1.0,0.0,1.0,14.0,0.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.19399999999999998,59.0,-16.0,59.0,106.0
2011-01-02 15:00:00,1.0,0.0,1.0,15.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.81,0.1642,74.0,15.0,74.0,110.0
2011-01-02 16:00:00,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.71,0.1642,76.0,2.0,76.0,93.0
2011-01-02 17:00:00,1.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.34,0.3333,0.57,0.19399999999999998,65.0,-11.0,65.0,67.0
2011-01-02 18:00:00,1.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.46,0.3284,53.0,-12.0,53.0,35.0
2011-01-02 19:00:00,1.0,0.0,1.0,19.0,0.0,0.0,0.0,1.0,0.32,0.2879,0.42,0.4478,30.0,-23.0,30.0,37.0
2011-01-02 20:00:00,1.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.3,0.2727,0.39,0.3582,22.0,-8.0,22.0,36.0
2011-01-02 21:00:00,1.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,0.26,0.2273,0.44,0.3284,31.0,9.0,31.0,34.0
2011-01-02 22:00:00,1.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.24,0.2121,0.44,0.2985,9.0,-22.0,9.0,28.0
2011-01-02 23:00:00,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,0.22,0.2273,0.47,0.1642,8.0,-1.0,8.0,39.0
2011-01-03 00:00:00,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.22,0.19699999999999998,0.44,0.3582,5.0,-3.0,5.0,17.0
2011-01-03 01:00:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,2.0,-3.0,2.0,17.0
2011-01-03 02:00:00,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,2.0,0.0,2.0,9.0
2011-01-03 03:00:00,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,2.0,0.0,2.0,6.0
2011-01-03 04:00:00,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,1.0,-1.0,1.0,3.0
2011-01-03 05:00:00,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.2836,3.0,2.0,3.0,3.0
2011-01-03 06:00:00,1.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,0.14,0.1061,0.5,0.3881,30.0,27.0,30.0,2.0
2011-01-03 07:00:00,1.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.19399999999999998,64.0,34.0,64.0,1.0
2011-01-03 08:00:00,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,0.14,0.1212,0.5,0.2836,154.0,90.0,154.0,8.0
2011-01-03 09:00:00,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.43,0.3881,88.0,-66.0,88.0,20.0
2011-01-03 10:00:00,1.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,0.18,0.1667,0.43,0.2537,44.0,-44.0,44.0,53.0
2011-01-03 11:00:00,1.0,0.0,1.0,11.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.3284,51.0,7.0,51.0,70.0
2011-01-03 12:00:00,1.0,0.0,1.0,12.0,0.0,1.0,1.0,1.0,0.22,0.2121,0.35,0.2985,61.0,10.0,61.0,93.0
2011-01-03 13:00:00,1.0,0.0,1.0,13.0,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.2836,61.0,0.0,61.0,75.0
2011-01-03 14:00:00,1.0,0.0,1.0,14.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2836,77.0,16.0,77.0,59.0
2011-01-03 15:00:00,1.0,0.0,1.0,15.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,72.0,-5.0,72.0,74.0
2011-01-03 16:00:00,1.0,0.0,1.0,16.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,76.0,4.0,76.0,76.0
2011-01-03 17:00:00,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,0.24,0.2273,0.3,0.2239,157.0,81.0,157.0,65.0
2011-01-03 18:00:00,1.0,0.0,1.0,18.0,0.0,1.0,1.0,1.0,0.24,0.2576,0.32,0.1045,157.0,0.0,157.0,53.0
2011-01-03 19:00:00,1.0,0.0,1.0,19.0,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,110.0,-47.0,110.0,30.0
2011-01-03 20:00:00,1.0,0.0,1.0,20.0,0.0,1.0,1.0,1.0,0.2,0.2273,0.47,0.1045,52.0,-58.0,52.0,22.0
2011-01-03 21:00:00,1.0,0.0,1.0,21.0,0.0,1.0,1.0,1.0,0.18,0.19699999999999998,0.64,0.1343,52.0,0.0,52.0,31.0
2011-01-03 22:00:00,1.0,0.0,1.0,22.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343,20.0,-32.0,20.0,9.0
2011-01-03 23:00:00,1.0,0.0,1.0,23.0,0.0,1.0,1.0,1.0,0.18,0.2121,0.55,0.1045,12.0,-8.0,12.0,8.0
2011-01-04 00:00:00,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.16,0.1818,0.55,0.1045,5.0,-7.0,5.0,5.0
2011-01-04 01:00:00,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.16,0.1818,0.59,0.1045,2.0,-3.0,2.0,2.0
2011-01-04 02:00:00,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.63,0.1343,1.0,-1.0,1.0,2.0
2011-01-04 03:00:00,1.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.63,0.1343,1.0,0.0,1.0,2.0
2011-01-04 04:00:00,1.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,0.14,0.1818,0.63,0.0896,2.0,1.0,2.0,1.0
2011-01-04 05:00:00,1.0,0.0,1.0,5.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.68,0.1045,4.0,2.0,4.0,3.0
2011-01-04 06:00:00,1.0,0.0,1.0,6.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1045,36.0,32.0,36.0,30.0
2011-01-04 07:00:00,1.0,0.0,1.0,7.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1343,94.0,58.0,94.0,64.0
2011-01-04 08:00:00,1.0,0.0,1.0,8.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.69,0.1642,179.0,85.0,179.0,154.0
2011-01-04 09:00:00,1.0,0.0,1.0,9.0,0.0,2.0,1.0,1.0,0.16,0.1515,0.64,0.2239,100.0,-79.0,100.0,88.0
2011-01-04 10:00:00,1.0,0.0,1.0,10.0,0.0,2.0,1.0,2.0,0.16,0.1364,0.69,0.3284,42.0,-58.0,42.0,44.0
2011-01-04 11:00:00,1.0,0.0,1.0,11.0,0.0,2.0,1.0,1.0,0.22,0.2121,0.51,0.2985,57.0,15.0,57.0,51.0
2011-01-04 12:00:00,1.0,0.0,1.0,12.0,0.0,2.0,1.0,1.0,0.22,0.2273,0.51,0.1642,78.0,21.0,78.0,61.0
2011-01-04 13:00:00,1.0,0.0,1.0,13.0,0.0,2.0,1.0,1.0,0.24,0.2273,0.56,0.19399999999999998,97.0,19.0,97.0,61.0
2011-01-04 14:00:00,1.0,0.0,1.0,14.0,0.0,2.0,1.0,1.0,0.26,0.2576,0.52,0.2239,63.0,-34.0,63.0,77.0
2011-01-04 15:00:00,1.0,0.0,1.0,15.0,0.0,2.0,1.0,1.0,0.28,0.2727,0.52,0.2537,65.0,2.0,65.0,72.0
2011-01-04 16:00:00,1.0,0.0,1.0,16.0,0.0,2.0,1.0,1.0,0.3,0.2879,0.49,0.2537,83.0,18.0,83.0,76.0
2011-01-04 17:00:00,1.0,0.0,1.0,17.0,0.0,2.0,1.0,1.0,0.28,0.2727,0.48,0.2239,212.0,129.0,212.0,157.0
2011-01-04 18:00:00,1.0,0.0,1.0,18.0,0.0,2.0,1.0,1.0,0.26,0.2576,0.48,0.19399999999999998,182.0,-30.0,182.0,157.0
2011-01-04 19:00:00,1.0,0.0,1.0,19.0,0.0,2.0,1.0,1.0,0.24,0.2576,0.48,0.1045,112.0,-70.0,112.0,110.0
2011-01-04 20:00:00,1.0,0.0,1.0,20.0,0.0,2.0,1.0,1.0,0.24,0.2576,0.48,0.1045,54.0,-58.0,54.0,52.0
2011-01-04 21:00:00,1.0,0.0,1.0,21.0,0.0,2.0,1.0,1.0,0.22,0.2727,0.64,0.0,48.0,-6.0,48.0,52.0
2011-01-04 22:00:00,1.0,0.0,1.0,22.0,0.0,2.0,1.0,1.0,0.22,0.2576,0.64,0.0896,35.0,-13.0,35.0,20.0
2011-01-04 23:00:00,1.0,0.0,1.0,23.0,0.0,2.0,1.0,1.0,0.2,0.2273,0.69,0.0896,11.0,-24.0,11.0,12.0
2011-01-05 00:00:00,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2,0.2576,0.64,0.0,6.0,-5.0,6.0,5.0
2011-01-05 01:00:00,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.16,0.19699999999999998,0.74,0.0896,6.0,0.0,6.0,2.0
2011-01-05 02:00:00,1.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.16,0.19699999999999998,0.74,0.0896,2.0,-4.0,2.0,1.0
2011-01-05 03:00:00,1.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,0.16,0.19699999999999998,0.74,0.0896,2.0,0.0,2.0,1.0
2011-01-05 04:00:00,1.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.48,0.2239,2.0,0.0,2.0,2.0
2011-01-05 05:00:00,1.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,3.0,1.0,3.0,4.0
2011-01-05 06:00:00,1.0,0.0,1.0,6.0,0.0,3.0,1.0,1.0,0.2,0.19699999999999998,0.47,0.2239,33.0,30.0,33.0,36.0
2011-01-05 07:00:00,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,0.18,0.1818,0.43,0.19399999999999998,88.0,55.0,88.0,94.0
2011-01-05 08:00:00,1.0,0.0,1.0,8.0,0.0,3.0,1.0,1.0,0.2,0.1818,0.4,0.2985,195.0,107.0,195.0,179.0
2011-01-05 09:00:00,1.0,0.0,1.0,9.0,0.0,3.0,1.0,1.0,0.22,0.19699999999999998,0.37,0.3284,115.0,-80.0,115.0,100.0
2011-01-05 10:00:00,1.0,0.0,1.0,10.0,0.0,3.0,1.0,1.0,0.22,0.19699999999999998,0.37,0.3284,57.0,-58.0,57.0,42.0
2011-01-05 11:00:00,1.0,0.0,1.0,11.0,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.3284,46.0,-11.0,46.0,57.0
2011-01-05 12:00:00,1.0,0.0,1.0,12.0,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.3284,79.0,33.0,79.0,78.0
2011-01-05 13:00:00,1.0,0.0,1.0,13.0,0.0,3.0,1.0,1.0,0.28,0.2576,0.3,0.2985,71.0,-8.0,71.0,97.0
2011-01-05 14:00:00,1.0,0.0,1.0,14.0,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.19399999999999998,62.0,-9.0,62.0,63.0
2011-01-05 15:00:00,1.0,0.0,1.0,15.0,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.19399999999999998,62.0,0.0,62.0,65.0
2011-01-05 16:00:00,1.0,0.0,1.0,16.0,0.0,3.0,1.0,1.0,0.3,0.3182,0.28,0.0896,89.0,27.0,89.0,83.0
2011-01-05 17:00:00,1.0,0.0,1.0,17.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.38,0.19399999999999998,190.0,101.0,190.0,212.0
2011-01-05 18:00:00,1.0,0.0,1.0,18.0,0.0,3.0,1.0,1.0,0.24,0.2424,0.38,0.1343,169.0,-21.0,169.0,182.0
2011-01-05 19:00:00,1.0,0.0,1.0,19.0,0.0,3.0,1.0,1.0,0.24,0.2576,0.38,0.1045,132.0,-37.0,132.0,112.0
2011-01-05 20:00:00,1.0,0.0,1.0,20.0,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,89.0,-43.0,89.0,54.0
2011-01-05 21:00:00,1.0,0.0,1.0,21.0,0.0,3.0,1.0,1.0,0.2,0.19699999999999998,0.51,0.19399999999999998,43.0,-46.0,43.0,48.0
2011-01-05 22:00:00,1.0,0.0,1.0,22.0,0.0,3.0,1.0,1.0,0.18,0.19699999999999998,0.55,0.1343,42.0,-1.0,42.0,35.0
2011-01-05 23:00:00,1.0,0.0,1.0,23.0,0.0,3.0,1.0,1.0,0.2,0.2576,0.47,0.0,19.0,-23.0,19.0,11.0
2011-01-06 00:00:00,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.18,0.2424,0.55,0.0,11.0,-8.0,11.0,6.0
2011-01-06 01:00:00,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,4.0,-7.0,4.0,6.0
2011-01-06 02:00:00,1.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,2.0,-2.0,2.0,2.0
2011-01-06 03:00:00,1.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,2.0,0.0,2.0,2.0
2011-01-06 04:00:00,1.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0,0.16,0.19699999999999998,0.64,0.0896,1.0,-1.0,1.0,2.0
2011-01-06 05:00:00,1.0,0.0,1.0,5.0,0.0,4.0,1.0,2.0,0.14,0.1818,0.69,0.0896,4.0,3.0,4.0,3.0
2011-01-06 06:00:00,1.0,0.0,1.0,6.0,0.0,4.0,1.0,2.0,0.14,0.1667,0.63,0.1045,36.0,32.0,36.0,33.0
2011-01-06 07:00:00,1.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,0.16,0.2273,0.59,0.0,95.0,59.0,95.0,88.0
2011-01-06 08:00:00,1.0,0.0,1.0,8.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.59,0.0,219.0,124.0,219.0,195.0
2011-01-06 09:00:00,1.0,0.0,1.0,9.0,0.0,4.0,1.0,2.0,0.18,0.2424,0.51,0.0,122.0,-97.0,122.0,115.0
2011-01-06 10:00:00,1.0,0.0,1.0,10.0,0.0,4.0,1.0,1.0,0.2,0.2576,0.47,0.0,45.0,-77.0,45.0,57.0
2011-01-06 11:00:00,1.0,0.0,1.0,11.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.44,0.0896,59.0,14.0,59.0,46.0
2011-01-06 12:00:00,1.0,0.0,1.0,12.0,0.0,4.0,1.0,1.0,0.26,0.2879,0.35,0.0,84.0,25.0,84.0,79.0
2011-01-06 13:00:00,1.0,0.0,1.0,13.0,0.0,4.0,1.0,1.0,0.26,0.2727,0.35,0.1045,67.0,-17.0,67.0,71.0
2011-01-06 14:00:00,1.0,0.0,1.0,14.0,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.1642,70.0,3.0,70.0,62.0
2011-01-06 15:00:00,1.0,0.0,1.0,15.0,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.0,62.0,-8.0,62.0,62.0
2011-01-06 16:00:00,1.0,0.0,1.0,16.0,0.0,4.0,1.0,1.0,0.26,0.2576,0.38,0.1642,86.0,24.0,86.0,89.0
2011-01-06 17:00:00,1.0,0.0,1.0,17.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1642,172.0,86.0,172.0,190.0
2011-01-06 18:00:00,1.0,0.0,1.0,18.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1343,163.0,-9.0,163.0,169.0
2011-01-06 19:00:00,1.0,0.0,1.0,19.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.55,0.0896,112.0,-51.0,112.0,132.0
2011-01-06 20:00:00,1.0,0.0,1.0,20.0,0.0,4.0,1.0,1.0,0.2,0.2121,0.51,0.1642,69.0,-43.0,69.0,89.0
2011-01-06 21:00:00,1.0,0.0,1.0,21.0,0.0,4.0,1.0,2.0,0.22,0.2121,0.55,0.2239,48.0,-21.0,48.0,43.0
2011-01-06 22:00:00,1.0,0.0,1.0,22.0,0.0,4.0,1.0,2.0,0.22,0.2121,0.51,0.2836,52.0,4.0,52.0,42.0
2011-01-06 23:00:00,1.0,0.0,1.0,23.0,0.0,4.0,1.0,2.0,0.2,0.19699999999999998,0.59,0.19399999999999998,23.0,-29.0,23.0,19.0
2011-01-07 00:00:00,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.64,0.19399999999999998,17.0,-6.0,17.0,11.0
2011-01-07 01:00:00,1.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.69,0.2239,7.0,-10.0,7.0,4.0
2011-01-07 02:00:00,1.0,0.0,1.0,2.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.69,0.2239,1.0,-6.0,1.0,2.0
2011-01-07 03:00:00,1.0,0.0,1.0,3.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.69,0.2239,1.0,0.0,1.0,2.0
2011-01-07 04:00:00,1.0,0.0,1.0,4.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.69,0.1343,1.0,0.0,1.0,1.0
2011-01-07 05:00:00,1.0,0.0,1.0,5.0,0.0,5.0,1.0,3.0,0.22,0.2727,0.55,0.0,5.0,4.0,5.0,4.0
2011-01-07 06:00:00,1.0,0.0,1.0,6.0,0.0,5.0,1.0,2.0,0.2,0.2576,0.69,0.0,34.0,29.0,34.0,36.0
2011-01-07 07:00:00,1.0,0.0,1.0,7.0,0.0,5.0,1.0,1.0,0.2,0.2121,0.69,0.1343,84.0,50.0,84.0,95.0
2011-01-07 08:00:00,1.0,0.0,1.0,8.0,0.0,5.0,1.0,1.0,0.2,0.19699999999999998,0.51,0.2537,210.0,126.0,210.0,219.0
2011-01-07 09:00:00,1.0,0.0,1.0,9.0,0.0,5.0,1.0,1.0,0.2,0.1818,0.47,0.2985,134.0,-76.0,134.0,122.0
2011-01-07 10:00:00,1.0,0.0,1.0,10.0,0.0,5.0,1.0,1.0,0.22,0.19699999999999998,0.37,0.3284,63.0,-71.0,63.0,45.0
2011-01-07 11:00:00,1.0,0.0,1.0,11.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.4,0.2239,67.0,4.0,67.0,59.0
2011-01-07 12:00:00,1.0,0.0,1.0,12.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.37,0.2537,59.0,-8.0,59.0,84.0
2011-01-07 13:00:00,1.0,0.0,1.0,13.0,0.0,5.0,1.0,2.0,0.2,0.1818,0.37,0.2836,73.0,14.0,73.0,67.0
2011-01-07 14:00:00,1.0,0.0,1.0,14.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.4,0.2537,50.0,-23.0,50.0,70.0
2011-01-07 15:00:00,1.0,0.0,1.0,15.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,72.0,22.0,72.0,62.0
2011-01-07 16:00:00,1.0,0.0,1.0,16.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,87.0,15.0,87.0,86.0
2011-01-07 17:00:00,1.0,0.0,1.0,17.0,0.0,5.0,1.0,2.0,0.2,0.2576,0.37,0.0,187.0,100.0,187.0,172.0
2011-01-07 18:00:00,1.0,0.0,1.0,18.0,0.0,5.0,1.0,1.0,0.2,0.2273,0.4,0.0896,123.0,-64.0,123.0,163.0
2011-01-07 19:00:00,1.0,0.0,1.0,19.0,0.0,5.0,1.0,1.0,0.16,0.19699999999999998,0.55,0.0896,95.0,-28.0,95.0,112.0
2011-01-07 20:00:00,1.0,0.0,1.0,20.0,0.0,5.0,1.0,1.0,0.18,0.2121,0.47,0.1045,51.0,-44.0,51.0,69.0
2011-01-07 21:00:00,1.0,0.0,1.0,21.0,0.0,5.0,1.0,1.0,0.18,0.19699999999999998,0.47,0.1343,39.0,-12.0,39.0,48.0
2011-01-07 22:00:00,1.0,0.0,1.0,22.0,0.0,5.0,1.0,2.0,0.18,0.19699999999999998,0.43,0.1642,36.0,-3.0,36.0,52.0
2011-01-07 23:00:00,1.0,0.0,1.0,23.0,0.0,5.0,1.0,2.0,0.18,0.19699999999999998,0.51,0.1642,15.0,-21.0,15.0,23.0
2011-01-08 00:00:00,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.18,0.19699999999999998,0.51,0.1642,25.0,10.0,16.0,17.0
2011-01-08 01:00:00,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.18,0.2121,0.55,0.0896,16.0,-9.0,40.0,7.0
2011-01-08 02:00:00,1.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.18,0.2424,0.55,0.0,16.0,0.0,32.0,1.0
2011-01-08 03:00:00,1.0,0.0,1.0,3.0,0.0,6.0,0.0,3.0,0.18,0.19699999999999998,0.55,0.1642,7.0,-9.0,13.0,1.0
